alunoid,campus,curso,anoingresso,periodoingresso,dataconclusao,forma_acesso_seletivo,rendabruta,ira,modalidade,genero,raca,idade,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao,pontuacao_seletivo,percentual_frequencia,reprovacoes,idioma
27441,MTC,Licenciatura em Biologia,2011,1,,COT,300.0,7.38,Licenciatura,M,Preta,42,False,,0.0,False,Pai,Alfabetizado,Alfabetizado,1.0,Solteiro(a),0,Rural,Serviço público,Matriculado,,96,0,False
103734,CAX,Caxias - Licenciatura em Formação Pedagógica para Graduados não Licenciados,2018,2,,CON,7000.0,9.32,Licenciatura,M,Branca,42,False,,1.0,False,Pais,Pós-gradução completa,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Trabalha com vínculo empregatício,Matriculado,,100,0,False
111234,COD,Licenciatura em Ciências Biológicas,2019,1,,COT,700.0,5.38,Licenciatura,M,Parda,21,False,,0.0,False,Parentes,Ensino fundamental incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Trancada,,88,9,False
125703,MAR,Licenciatura em Ciências Agrárias,2020,1,,COT,3000.0,0.0,Licenciatura,F,Parda,20,False,,0.0,False,Parentes,Ensino fundamental incompleto,Ensino superior completo,1.0,Solteiro(a),0,Rural,Nunca trabalhou,Cancelado,,100,0,False
72547,CAX,Caxias - Bacharelado em Zootecnia,2016,2,2021-12-13,COT,1100.0,7.85,Bacharelado,M,Preta,25,False,,0.0,False,Mãe,Não Estudou,Não Estudou,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Formado,,98,1,False
39413,SRM,Curso Licenciatura em Ciências Biológicas - São R. Mangabeiras,2013,1,,CON,400.0,7.34,Licenciatura,M,Parda,32,False,,0.0,False,Amigo(s),Ensino fundamental incompleto,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,100,0,False
60849,MTC,Engenharia Civil,2015,1,,,200.0,5.11,Bacharelado,F,Parda,26,False,,0.0,False,Mãe,Pós-gradução completa,Não sei informar,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Cancelado,,100,0,False
137241,MTC,Engenharia Civil,2021,1,,COT,3000.0,0.0,Bacharelado,M,Preta,26,False,,0.0,False,Sozinho,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Serviço público,Cancelado,,100,0,False
110302,BDC,Curso de Bacharelado em Administração,2019,1,,CON,9000.0,5.78,Bacharelado,M,Parda,34,False,,0.0,False,Cônjuge,Ensino médio completo,Ensino médio incompleto,3.0,União Estável,2,Urbano,Serviço público,Matriculado,,75,10,False
87504,MTC,Engenharia Mecânica Industrial,2017,2,,COT,0.0,6.98,Bacharelado,M,Parda,26,False,,1.0,False,Pais,Ensino médio completo,Ensino médio incompleto,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Trancada,,98,0,False
85821,MTC,Licenciatura em Química EAD,2017,1,,,935.0,0.0,Licenciatura,M,Branca,33,False,,1.0,False,Cônjuge,Ensino superior incompleto,Ensino superior completo,1.0,Casado(a),3,Urbano,Serviço público,Cancelado,,100,0,False
48735,MTC,Engenharia Civil,2014,1,,,0.0,8.0,Bacharelado,M,Parda,27,False,,0.0,False,Pais,Ensino superior completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Estágio ou bolsa,Matriculado,,100,0,True
97028,ZDC,Licenciatura em Química,2018,1,,CON,965.0,8.82,Licenciatura,M,Parda,30,False,,0.0,False,Pais,Alfabetizado,Alfabetizado,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,97,0,False
56060,BAR,Barreirinhas - Licenciatura em Ciências Biológicas,2014,2,,CON,200.0,7.78,Licenciatura,M,Preta,28,False,,0.0,False,Cônjuge,Ensino médio completo,Não sei informar,0.0,Solteiro(a),2,Rural,Autônomo,Matriculado,,100,0,True
96144,SIN,Santa Inês - Licenciatura em Física,2018,1,,COT,900.0,6.86,Licenciatura,F,Parda,22,False,,,False,Cônjuge,Ensino médio completo,Ensino médio completo,0.0,União Estável,0,Urbano,Autônomo,Matriculado,,83,4,False
85664,MTC,Licenciatura em Química EAD,2017,1,2021-12-10,,0.0,9.5,Licenciatura,F,Parda,31,False,,0.0,False,Pais,Ensino fundamental incompleto,Não Estudou,0.0,Solteiro(a),0,Urbano,Empresa privada,Formado,,100,0,False
114847,CAX,Caxias - Licenciatura em Ciências Biológicas,2019,2,,CON,0.0,8.95,Licenciatura,F,Parda,21,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,99,1,False
139898,COD,Licenciatura em Química,2021,1,,COT,1500.0,5.64,Licenciatura,F,Parda,19,False,,,False,Avó,Ensino médio completo,Ensino médio completo,,Solteiro(a),0,Urbano,Nunca trabalhou,Cancelado,,99,3,False
